date,property_id,gas_usage_kwh,electricity_usage_kwh,infrared_usage_kwh,temperature,gas_cost,electricity_cost,infrared_cost,carbon_emissions_gas,carbon_emissions_electricity,carbon_emissions_infra
26/11/2024 12:00,1,28.51,23.55,14.57,21.35,1.43,3.53,1.17,5.25,5.49,1.46
26/11/2024 13:00,1,26.36,19.8,13.09,18.26,1.32,2.97,1.05,4.85,4.61,1.31
26/11/2024 14:00,1,29.94,22.82,12.79,18.51,1.5,3.42,1.02,5.51,5.32,1.28
26/11/2024 15:00,1,26.12,20.56,13.52,21.57,1.31,3.08,1.08,4.81,4.79,1.35
26/11/2024 16:00,1,26.16,21.8,14.63,20.15,1.31,3.27,1.17,4.81,5.08,1.46
26/11/2024 17:00,1,24.24,17.78,12.59,19.55,1.21,2.67,1.01,4.46,4.14,1.26
26/11/2024 18:00,1,27.07,19.82,12.84,21.16,1.35,2.97,1.03,4.98,4.62,1.28
26/11/2024 19:00,1,21.42,19.6,12.96,18.59,1.07,2.94,1.04,3.94,4.57,1.3
26/11/2024 20:00,1,25.46,19.56,13.8,21.14,1.27,2.93,1.1,4.68,4.56,1.38
26/11/2024 21:00,1,29.92,19.8,12.82,18.5,1.5,2.97,1.03,5.51,4.61,1.28
26/11/2024 22:00,1,29.94,20,12.93,21.7,1.5,3,1.03,5.51,4.66,1.29
26/11/2024 23:00,1,25.79,21.99,15.38,19.53,1.29,3.3,1.23,4.75,5.12,1.54
27/11/2024,1,27.75,21.23,17.2,20.3,1.39,3.18,1.38,5.11,4.95,1.72
27/11/2024 01:00,1,26.67,19.77,14.51,21.79,1.33,2.97,1.16,4.91,4.61,1.45
27/11/2024 02:00,1,30.76,22.21,15.44,19.62,1.54,3.33,1.24,5.66,5.17,1.54
27/11/2024 03:00,1,30.48,24.02,15.38,19.99,1.52,3.6,1.23,5.61,5.6,1.54
27/11/2024 04:00,1,30.29,25.29,16.25,17.59,1.51,3.79,1.3,5.57,5.89,1.62
27/11/2024 05:00,1,30.94,25.31,14.06,19.66,1.55,3.8,1.12,5.69,5.9,1.41
27/11/2024 06:00,1,33.94,24.58,16.3,20.56,1.7,3.69,1.3,6.24,5.73,1.63
27/11/2024 07:00,1,30.47,23.85,14.98,20.49,1.52,3.58,1.2,5.61,5.56,1.5
27/11/2024 08:00,1,32.37,23.95,15.78,19.22,1.62,3.59,1.26,5.96,5.58,1.58
27/11/2024 09:00,1,31.25,22.11,13.57,18.76,1.56,3.32,1.09,5.75,5.15,1.36
27/11/2024 10:00,1,30.79,22.72,13.82,19.85,1.54,3.41,1.11,5.67,5.29,1.38
27/11/2024 11:00,1,28.59,23.1,16.03,21.89,1.43,3.47,1.28,5.26,5.38,1.6
27/11/2024 12:00,1,28.46,20.27,13.4,20.31,1.42,3.04,1.07,5.24,4.72,1.34
27/11/2024 13:00,1,26.96,21.19,14.76,19.09,1.35,3.18,1.18,4.96,4.94,1.48
27/11/2024 14:00,1,29.46,18.95,11.97,21.23,1.47,2.84,0.96,5.42,4.42,1.2
27/11/2024 15:00,1,23.71,19.63,13.9,20.88,1.19,2.94,1.11,4.36,4.57,1.39
27/11/2024 16:00,1,27.06,20.8,13.39,19.73,1.35,3.12,1.07,4.98,4.85,1.34
27/11/2024 17:00,1,28.49,19.94,12.03,19.3,1.42,2.99,0.96,5.24,4.65,1.2
27/11/2024 18:00,1,26.82,19.81,12.99,19.05,1.34,2.97,1.04,4.93,4.62,1.3
27/11/2024 19:00,1,26,21.17,13.27,20.46,1.3,3.18,1.06,4.78,4.93,1.33
27/11/2024 20:00,1,26.67,19.42,12.32,21.07,1.33,2.91,0.99,4.91,4.52,1.23
27/11/2024 21:00,1,26.84,22.03,11.61,19.6,1.34,3.3,0.93,4.94,5.13,1.16
27/11/2024 22:00,1,28.21,22.65,12.94,17.98,1.41,3.4,1.04,5.19,5.28,1.29
27/11/2024 23:00,1,29.23,20.91,14.45,20.26,1.46,3.14,1.16,5.38,4.87,1.45
28/11/2024,1,25.6,20.07,14,20.14,1.28,3.01,1.12,4.71,4.68,1.4
28/11/2024 01:00,1,31.54,19.8,15.22,17.99,1.58,2.97,1.22,5.8,4.61,1.52
28/11/2024 02:00,1,30.58,22.5,16.04,21.8,1.53,3.38,1.28,5.63,5.24,1.6
28/11/2024 03:00,1,31.62,22.76,15.92,18.77,1.58,3.41,1.27,5.82,5.3,1.59
28/11/2024 04:00,1,30.41,23.82,14.08,18,1.52,3.57,1.13,5.6,5.55,1.41
28/11/2024 05:00,1,29.17,24.33,15.55,18.1,1.46,3.65,1.24,5.37,5.67,1.56
28/11/2024 06:00,1,31.34,24.59,14.86,18.89,1.57,3.69,1.19,5.77,5.73,1.49
28/11/2024 07:00,1,32.89,23.64,12.65,18.78,1.64,3.55,1.01,6.05,5.51,1.27
28/11/2024 08:00,1,31.21,24.33,16.05,20.57,1.56,3.65,1.28,5.74,5.67,1.61
28/11/2024 09:00,1,29.7,22.59,16.11,20.29,1.49,3.39,1.29,5.46,5.26,1.61
28/11/2024 10:00,1,31.32,25.08,13.5,19.09,1.57,3.76,1.08,5.76,5.84,1.35
28/11/2024 11:00,1,31.78,19.95,13.66,18.95,1.59,2.99,1.09,5.85,4.65,1.37
28/11/2024 12:00,1,27.73,22,15.46,18.02,1.39,3.3,1.24,5.1,5.13,1.55
28/11/2024 13:00,1,29.53,21.62,13.6,19.99,1.48,3.24,1.09,5.43,5.04,1.36
28/11/2024 14:00,1,26.48,19.94,14.71,18.75,1.32,2.99,1.18,4.87,4.65,1.47
28/11/2024 15:00,1,27.66,21.51,14.53,20.58,1.38,3.23,1.16,5.09,5.01,1.45
28/11/2024 16:00,1,28.65,19.14,12.64,19.11,1.43,2.87,1.01,5.27,4.46,1.26
28/11/2024 17:00,1,25.26,20.25,15.92,20.64,1.26,3.04,1.27,4.65,4.72,1.59
28/11/2024 18:00,1,28.35,20.15,12.46,18.6,1.42,3.02,1,5.22,4.69,1.25
28/11/2024 19:00,1,23.61,19.57,13.48,18.77,1.18,2.94,1.08,4.34,4.56,1.35
28/11/2024 20:00,1,25.34,20.03,14.13,19.56,1.27,3,1.13,4.66,4.67,1.41
28/11/2024 21:00,1,25.36,20.2,11.92,20.42,1.27,3.03,0.95,4.67,4.71,1.19
28/11/2024 22:00,1,26.71,19.34,13.1,20.32,1.34,2.9,1.05,4.91,4.51,1.31
28/11/2024 23:00,1,29.82,19.05,11.87,19.27,1.49,2.86,0.95,5.49,4.44,1.19
29/11/2024,1,26.43,22.31,13.54,18.75,1.32,3.35,1.08,4.86,5.2,1.35
29/11/2024 01:00,1,31.52,21.39,14.22,20.41,1.58,3.21,1.14,5.8,4.98,1.42
29/11/2024 02:00,1,33.59,20.89,15.35,19.63,1.68,3.13,1.23,6.18,4.87,1.54
29/11/2024 03:00,1,29.21,22.53,16.84,20.33,1.46,3.38,1.35,5.37,5.25,1.68
29/11/2024 04:00,1,31.44,23.16,14.81,21.7,1.57,3.47,1.18,5.78,5.4,1.48
29/11/2024 05:00,1,33.59,22.87,14.19,19.87,1.68,3.43,1.14,6.18,5.33,1.42
29/11/2024 06:00,1,31.45,22.64,16.68,21.11,1.57,3.4,1.33,5.79,5.28,1.67
29/11/2024 07:00,1,31.49,23.78,16.39,18.57,1.57,3.57,1.31,5.79,5.54,1.64
29/11/2024 08:00,1,31.12,23.54,15.77,19.67,1.56,3.53,1.26,5.73,5.48,1.58
29/11/2024 09:00,1,28.48,23.84,14.03,19.48,1.42,3.58,1.12,5.24,5.55,1.4
29/11/2024 10:00,1,27.76,22.81,16.7,18.2,1.39,3.42,1.34,5.11,5.31,1.67
29/11/2024 11:00,1,27.32,21.54,15.01,20.19,1.37,3.23,1.2,5.03,5.02,1.5
29/11/2024 12:00,1,27.34,21.51,12.25,18.54,1.37,3.23,0.98,5.03,5.01,1.23
29/11/2024 13:00,1,27.64,21.18,13.45,20.22,1.38,3.18,1.08,5.09,4.93,1.34
29/11/2024 14:00,1,26.54,20.69,14.13,18.93,1.33,3.1,1.13,4.88,4.82,1.41
29/11/2024 15:00,1,27.72,20.32,13.54,19.18,1.39,3.05,1.08,5.1,4.73,1.35
29/11/2024 16:00,1,26.81,15.82,15.28,19.35,1.34,2.37,1.22,4.93,3.69,1.53
29/11/2024 17:00,1,25.03,20.26,12.3,18.26,1.25,3.04,0.98,4.61,4.72,1.23
29/11/2024 18:00,1,26.26,19.15,12.7,20.77,1.31,2.87,1.02,4.83,4.46,1.27
29/11/2024 19:00,1,25.25,19.23,11.08,19.22,1.26,2.88,0.89,4.65,4.48,1.11
29/11/2024 20:00,1,24.6,20.61,12.66,20.62,1.23,3.09,1.01,4.53,4.8,1.27
29/11/2024 21:00,1,25.37,21.39,15.92,19.55,1.27,3.21,1.27,4.67,4.98,1.59
29/11/2024 22:00,1,30.11,20.24,14.01,19.56,1.51,3.04,1.12,5.54,4.72,1.4
29/11/2024 23:00,1,27.25,19.4,13.18,18.59,1.36,2.91,1.05,5.01,4.52,1.32
30/11/2024,1,32.31,19.93,15.07,20.2,1.62,2.99,1.21,5.95,4.64,1.51
30/11/2024 01:00,1,30.19,21.58,12.69,19.7,1.51,3.24,1.02,5.55,5.03,1.27
30/11/2024 02:00,1,29.92,22.47,15.09,19.18,1.5,3.37,1.21,5.51,5.24,1.51
30/11/2024 03:00,1,30.72,22.63,16.23,20.43,1.54,3.39,1.3,5.65,5.27,1.62
30/11/2024 04:00,1,31.76,25.94,16.3,20.02,1.59,3.89,1.3,5.84,6.04,1.63
30/11/2024 05:00,1,32.67,24.42,16.22,19.71,1.63,3.66,1.3,6.01,5.69,1.62
30/11/2024 06:00,1,35.92,22.34,16.77,19.67,1.8,3.35,1.34,6.61,5.21,1.68
30/11/2024 07:00,1,30.98,26.28,18.59,20.78,1.55,3.94,1.49,5.7,6.12,1.86
30/11/2024 08:00,1,32.8,21.85,15.66,19.54,1.64,3.28,1.25,6.04,5.09,1.57
30/11/2024 09:00,1,28.53,22.34,14.9,21.67,1.43,3.35,1.19,5.25,5.21,1.49
30/11/2024 10:00,1,30.19,21,16.27,20.11,1.51,3.15,1.3,5.55,4.89,1.63
30/11/2024 11:00,1,30.38,22.48,14.04,19.43,1.52,3.37,1.12,5.59,5.24,1.4
30/11/2024 12:00,1,28.3,21.13,13.31,20.76,1.42,3.17,1.06,5.21,4.92,1.33
30/11/2024 13:00,1,26.84,21.44,14.26,18.19,1.34,3.22,1.14,4.94,5,1.43
30/11/2024 14:00,1,27.23,19.93,12.66,20.89,1.36,2.99,1.01,5.01,4.64,1.27
30/11/2024 15:00,1,28.21,19.92,13.93,17.65,1.41,2.99,1.11,5.19,4.64,1.39
30/11/2024 16:00,1,24.46,20.01,10.78,20.61,1.22,3,0.86,4.5,4.66,1.08
30/11/2024 17:00,1,27.77,17.46,12.77,20.94,1.39,2.62,1.02,5.11,4.07,1.28
30/11/2024 18:00,1,24.63,19.52,14.18,17.97,1.23,2.93,1.13,4.53,4.55,1.42
30/11/2024 19:00,1,26.37,19.68,12.54,19.3,1.32,2.95,1,4.85,4.59,1.25
30/11/2024 20:00,1,25.94,20.65,13.23,18.62,1.3,3.1,1.06,4.77,4.81,1.32
30/11/2024 21:00,1,28.21,20.44,12.19,19.67,1.41,3.07,0.98,5.19,4.76,1.22
30/11/2024 22:00,1,25.87,21.09,12.72,18.92,1.29,3.16,1.02,4.76,4.91,1.27
30/11/2024 23:00,1,28.53,21.29,14.95,19.14,1.43,3.19,1.2,5.25,4.96,1.5
01/12/2024,1,27.62,22.62,12.78,18.65,1.38,3.39,1.02,5.08,5.27,1.28
01/12/2024 01:00,1,28.56,22.79,13.7,20.57,1.43,3.42,1.1,5.26,5.31,1.37
01/12/2024 02:00,1,27.24,23.3,15.5,20.38,1.36,3.5,1.24,5.01,5.43,1.55
01/12/2024 03:00,1,28.21,22.36,16.76,20.08,1.41,3.35,1.34,5.19,5.21,1.68
01/12/2024 04:00,1,31.74,25.38,14.26,19.77,1.59,3.81,1.14,5.84,5.91,1.43
01/12/2024 05:00,1,33.38,23.93,15.89,19.93,1.67,3.59,1.27,6.14,5.58,1.59
01/12/2024 06:00,1,31.59,25.18,15.2,19.25,1.58,3.78,1.22,5.81,5.87,1.52
01/12/2024 07:00,1,32.26,22.32,17.19,21.88,1.61,3.35,1.38,5.94,5.2,1.72
01/12/2024 08:00,1,30.9,23.94,15.09,19.67,1.54,3.59,1.21,5.69,5.58,1.51
01/12/2024 09:00,1,30.53,21.97,13.37,20.19,1.53,3.3,1.07,5.62,5.12,1.34
01/12/2024 10:00,1,30.12,25.35,14.73,20.28,1.51,3.8,1.18,5.54,5.91,1.47
01/12/2024 11:00,1,30.28,22.28,14.22,20.38,1.51,3.34,1.14,5.57,5.19,1.42
01/12/2024 12:00,1,29.85,21.84,14.31,20.88,1.49,3.28,1.14,5.49,5.09,1.43
01/12/2024 13:00,1,30.53,18.21,13.41,19.3,1.53,2.73,1.07,5.62,4.24,1.34
01/12/2024 14:00,1,29.66,17.92,13.3,17.69,1.48,2.69,1.06,5.46,4.18,1.33
01/12/2024 15:00,1,26.72,20.01,14.06,21.8,1.34,3,1.12,4.92,4.66,1.41
01/12/2024 16:00,1,26.19,19.17,14.3,19.23,1.31,2.88,1.14,4.82,4.47,1.43
01/12/2024 17:00,1,25.04,19.9,12.05,19.31,1.25,2.98,0.96,4.61,4.64,1.21
01/12/2024 18:00,1,25.24,19.96,14.23,21.1,1.26,2.99,1.14,4.64,4.65,1.42
01/12/2024 19:00,1,24.21,20.16,12.9,20.04,1.21,3.02,1.03,4.45,4.7,1.29
01/12/2024 20:00,1,28.18,20.67,14.61,18.35,1.41,3.1,1.17,5.19,4.82,1.46
01/12/2024 21:00,1,29.02,20.59,11.2,19.83,1.45,3.09,0.9,5.34,4.8,1.12
01/12/2024 22:00,1,26.87,20.69,13.74,18.04,1.34,3.1,1.1,4.94,4.82,1.37
01/12/2024 23:00,1,29.47,21.87,13.1,19.34,1.47,3.28,1.05,5.42,5.1,1.31
02/12/2024,1,28.81,21.07,14.37,17.31,1.44,3.16,1.15,5.3,4.91,1.44
02/12/2024 01:00,1,29.21,22.71,13.78,19.95,1.46,3.41,1.1,5.37,5.29,1.38
02/12/2024 02:00,1,32.2,23.11,15.5,17.89,1.61,3.47,1.24,5.92,5.38,1.55
02/12/2024 03:00,1,29.89,20.62,14.26,18.27,1.49,3.09,1.14,5.5,4.8,1.43
02/12/2024 04:00,1,28.9,23.48,14.9,17.61,1.45,3.52,1.19,5.32,5.47,1.49
02/12/2024 05:00,1,32.19,23.18,15.06,20.14,1.61,3.48,1.2,5.92,5.4,1.51
02/12/2024 06:00,1,30.49,21.55,15.99,18.29,1.52,3.23,1.28,5.61,5.02,1.6
02/12/2024 07:00,1,31.97,24.44,16.47,17.91,1.6,3.67,1.32,5.88,5.69,1.65
02/12/2024 08:00,1,29.24,23.01,16.13,16.96,1.46,3.45,1.29,5.38,5.36,1.61
02/12/2024 09:00,1,29.42,22.53,15.77,20.79,1.47,3.38,1.26,5.41,5.25,1.58
02/12/2024 10:00,1,27.9,21.71,14.74,19.06,1.4,3.26,1.18,5.13,5.06,1.47
02/12/2024 11:00,1,29.97,20.48,14.57,18.35,1.5,3.07,1.17,5.51,4.77,1.46
02/12/2024 12:00,1,28.83,21.97,14.43,18.76,1.44,3.3,1.15,5.3,5.12,1.44
02/12/2024 13:00,1,28.54,21.94,14.46,17.74,1.43,3.29,1.16,5.25,5.11,1.45
02/12/2024 14:00,1,29.96,21.65,14.49,20.94,1.5,3.25,1.16,5.51,5.04,1.45
02/12/2024 15:00,1,27.66,20.65,11.55,19,1.38,3.1,0.92,5.09,4.81,1.16
02/12/2024 16:00,1,25.98,19.72,14.9,18.91,1.3,2.96,1.19,4.78,4.59,1.49
02/12/2024 17:00,1,25.6,19.95,11.87,20.24,1.28,2.99,0.95,4.71,4.65,1.19
02/12/2024 18:00,1,24.79,19.9,13.68,20.46,1.24,2.98,1.09,4.56,4.64,1.37
02/12/2024 19:00,1,24.63,20.8,11.97,20.22,1.23,3.12,0.96,4.53,4.85,1.2
02/12/2024 20:00,1,25.76,18.48,13.17,18.62,1.29,2.77,1.05,4.74,4.31,1.32
02/12/2024 21:00,1,25.88,18.8,13.24,17.92,1.29,2.82,1.06,4.76,4.38,1.32
02/12/2024 22:00,1,29.92,20.48,14.04,18.71,1.5,3.07,1.12,5.51,4.77,1.4
02/12/2024 23:00,1,30.49,18.59,12.22,19.31,1.52,2.79,0.98,5.61,4.33,1.22
03/12/2024,1,27.07,21.96,13.38,19.04,1.35,3.29,1.07,4.98,5.12,1.34
03/12/2024 01:00,1,25.3,21.61,14.47,20.32,1.27,3.24,1.16,4.66,5.04,1.45
03/12/2024 02:00,1,28.75,25.39,15.68,20.05,1.44,3.81,1.25,5.29,5.92,1.57
03/12/2024 03:00,1,29.62,20.93,14.07,18.96,1.48,3.14,1.13,5.45,4.88,1.41
03/12/2024 04:00,1,32.54,24.15,14.52,19.82,1.63,3.62,1.16,5.99,5.63,1.45
03/12/2024 05:00,1,30.58,24.82,15.71,19.39,1.53,3.72,1.26,5.63,5.78,1.57
03/12/2024 06:00,1,29.98,24.87,14.3,19.42,1.5,3.73,1.14,5.52,5.79,1.43
03/12/2024 07:00,1,32.71,23.28,16.97,19.66,1.64,3.49,1.36,6.02,5.42,1.7
03/12/2024 08:00,1,31.9,23.65,15.39,21.08,1.59,3.55,1.23,5.87,5.51,1.54
03/12/2024 09:00,1,30.01,21.88,15.57,19.21,1.5,3.28,1.25,5.52,5.1,1.56
03/12/2024 10:00,1,29.7,21.76,14.54,18.75,1.49,3.26,1.16,5.46,5.07,1.45
03/12/2024 11:00,1,28.23,21.09,13.95,17.96,1.41,3.16,1.12,5.19,4.91,1.4
03/12/2024 12:00,1,28.04,22.19,14.36,19.37,1.4,3.33,1.15,5.16,5.17,1.44
03/12/2024 13:00,1,28.97,24.04,13.86,21.28,1.45,3.61,1.11,5.33,5.6,1.39
03/12/2024 14:00,1,25.88,20.68,13.94,19.78,1.29,3.1,1.12,4.76,4.82,1.39
03/12/2024 15:00,1,28.36,20.57,13.57,19.12,1.42,3.09,1.09,5.22,4.79,1.36
03/12/2024 16:00,1,27.1,18.58,13.12,20.57,1.36,2.79,1.05,4.99,4.33,1.31
03/12/2024 17:00,1,24.25,19.62,11.77,17.84,1.21,2.94,0.94,4.46,4.57,1.18
03/12/2024 18:00,1,26.82,19.52,12.72,18.02,1.34,2.93,1.02,4.93,4.55,1.27
03/12/2024 19:00,1,26.45,21.26,15.13,20.97,1.32,3.19,1.21,4.87,4.95,1.51
03/12/2024 20:00,1,23.83,17.72,12.53,19.28,1.19,2.66,1,4.38,4.13,1.25
03/12/2024 21:00,1,26.69,18.95,14.25,20.42,1.33,2.84,1.14,4.91,4.42,1.43
03/12/2024 22:00,1,27.61,19.03,12.49,19.39,1.38,2.85,1,5.08,4.43,1.25
03/12/2024 23:00,1,25.36,21.01,12.31,20.39,1.27,3.15,0.98,4.67,4.9,1.23
04/12/2024,1,29.24,19.27,15.27,21.89,1.46,2.89,1.22,5.38,4.49,1.53
04/12/2024 01:00,1,26.2,23.87,14.43,20.56,1.31,3.58,1.15,4.82,5.56,1.44
04/12/2024 02:00,1,30.07,22.72,15,18.21,1.5,3.41,1.2,5.53,5.29,1.5
04/12/2024 03:00,1,27.88,21.81,12.77,18.88,1.39,3.27,1.02,5.13,5.08,1.28
04/12/2024 04:00,1,27.38,24.38,16.16,18.51,1.37,3.66,1.29,5.04,5.68,1.62
04/12/2024 05:00,1,31.5,22.63,14.24,18.53,1.58,3.39,1.14,5.8,5.27,1.42
04/12/2024 06:00,1,30.07,24.15,14.58,20.26,1.5,3.62,1.17,5.53,5.63,1.46
04/12/2024 07:00,1,30.32,22.87,15.2,19.63,1.52,3.43,1.22,5.58,5.33,1.52
04/12/2024 08:00,1,28.79,23.94,14.41,20.86,1.44,3.59,1.15,5.3,5.58,1.44
04/12/2024 09:00,1,29.79,21.22,15.43,20.33,1.49,3.18,1.23,5.48,4.94,1.54
04/12/2024 10:00,1,28.89,21.82,15.13,18.78,1.44,3.27,1.21,5.32,5.08,1.51
04/12/2024 11:00,1,30.02,22.01,13.68,19.78,1.5,3.3,1.09,5.52,5.13,1.37
04/12/2024 12:00,1,27.3,21.19,12.27,20.83,1.37,3.18,0.98,5.02,4.94,1.23
04/12/2024 13:00,1,26.85,21.37,12.79,19.46,1.34,3.21,1.02,4.94,4.98,1.28
04/12/2024 14:00,1,26.62,22.08,14.09,18.94,1.33,3.31,1.13,4.9,5.14,1.41
04/12/2024 15:00,1,25.11,18.39,13.02,18.25,1.26,2.76,1.04,4.62,4.28,1.3
04/12/2024 16:00,1,24.64,17.21,12.91,20.28,1.23,2.58,1.03,4.53,4.01,1.29
04/12/2024 17:00,1,25.64,18.65,12.65,20.55,1.28,2.8,1.01,4.72,4.35,1.27
04/12/2024 18:00,1,25.74,20.51,12.39,19.16,1.29,3.08,0.99,4.74,4.78,1.24
04/12/2024 19:00,1,25.13,20.9,12.91,19.75,1.26,3.13,1.03,4.62,4.87,1.29
04/12/2024 20:00,1,25.25,19.75,13.97,19.96,1.26,2.96,1.12,4.65,4.6,1.4
04/12/2024 21:00,1,26.85,19.61,14.65,18.32,1.34,2.94,1.17,4.94,4.57,1.47
04/12/2024 22:00,1,28.32,19.53,13.6,20.91,1.42,2.93,1.09,5.21,4.55,1.36
04/12/2024 23:00,1,27.95,21.66,14.09,17.88,1.4,3.25,1.13,5.14,5.05,1.41
05/12/2024,1,27.4,21.63,12.77,19.67,1.37,3.24,1.02,5.04,5.04,1.28
05/12/2024 01:00,1,30.69,20.79,14.98,19.8,1.53,3.12,1.2,5.65,4.84,1.5
05/12/2024 02:00,1,29.23,23.07,15.12,19.67,1.46,3.46,1.21,5.38,5.38,1.51
05/12/2024 03:00,1,27.16,24.84,15.15,19.34,1.36,3.73,1.21,5,5.79,1.52
05/12/2024 04:00,1,32.24,25.63,15.33,19.33,1.61,3.84,1.23,5.93,5.97,1.53
05/12/2024 05:00,1,33.61,23.04,16.23,18.49,1.68,3.46,1.3,6.18,5.37,1.62
05/12/2024 06:00,1,31.21,23.94,15.71,18.89,1.56,3.59,1.26,5.74,5.58,1.57
05/12/2024 07:00,1,34.5,23.78,14.08,19.05,1.73,3.57,1.13,6.35,5.54,1.41
05/12/2024 08:00,1,31.14,22.15,17.22,16.87,1.56,3.32,1.38,5.73,5.16,1.72
05/12/2024 09:00,1,30.94,20.85,13.55,19.54,1.55,3.13,1.08,5.69,4.86,1.36
05/12/2024 10:00,1,27.2,20.65,15.18,19.49,1.36,3.1,1.21,5,4.81,1.52
05/12/2024 11:00,1,29.66,21.87,14.92,18.61,1.48,3.28,1.19,5.46,5.1,1.49
05/12/2024 12:00,1,26.36,20.88,14.8,20.48,1.32,3.13,1.18,4.85,4.87,1.48
05/12/2024 13:00,1,29.13,22.18,14.71,17.83,1.46,3.33,1.18,5.36,5.17,1.47
05/12/2024 14:00,1,25.91,21.63,13.97,19.13,1.3,3.24,1.12,4.77,5.04,1.4
05/12/2024 15:00,1,23.47,16.93,13.16,20.56,1.17,2.54,1.05,4.32,3.94,1.32
05/12/2024 16:00,1,27.35,20.9,13.56,20.33,1.37,3.13,1.08,5.03,4.87,1.36
05/12/2024 17:00,1,26.31,19.02,12.17,21.89,1.32,2.85,0.97,4.84,4.43,1.22
05/12/2024 18:00,1,27.09,19.67,12.36,20.17,1.35,2.95,0.99,4.98,4.58,1.24
05/12/2024 19:00,1,25.42,19.45,13.66,19.24,1.27,2.92,1.09,4.68,4.53,1.37
05/12/2024 20:00,1,24.96,16.64,13.02,18.26,1.25,2.5,1.04,4.59,3.88,1.3
05/12/2024 21:00,1,26.25,20.73,13.68,20.84,1.31,3.11,1.09,4.83,4.83,1.37
05/12/2024 22:00,1,27.03,19.52,13.94,18.18,1.35,2.93,1.12,4.97,4.55,1.39
05/12/2024 23:00,1,29.36,20.1,14.28,19.19,1.47,3.02,1.14,5.4,4.68,1.43
06/12/2024,1,27.72,22.38,13.51,19.39,1.39,3.36,1.08,5.1,5.21,1.35
06/12/2024 01:00,1,29.19,20.89,14.17,19.15,1.46,3.13,1.13,5.37,4.87,1.42
06/12/2024 02:00,1,30.21,22.93,14.82,19.3,1.51,3.44,1.19,5.56,5.34,1.48
06/12/2024 03:00,1,28.44,22.72,15.69,19.58,1.42,3.41,1.26,5.23,5.29,1.57
06/12/2024 04:00,1,28.35,26.89,14.41,19.29,1.42,4.03,1.15,5.22,6.27,1.44
06/12/2024 05:00,1,27.89,25.12,15.03,18.63,1.39,3.77,1.2,5.13,5.85,1.5
06/12/2024 06:00,1,33.43,21.48,14.94,17.58,1.67,3.22,1.2,6.15,5,1.49
06/12/2024 07:00,1,30.46,25.32,15.48,19.11,1.52,3.8,1.24,5.6,5.9,1.55
06/12/2024 08:00,1,32.99,24.33,14.01,19.56,1.65,3.65,1.12,6.07,5.67,1.4
06/12/2024 09:00,1,30,22.61,15.17,19.3,1.5,3.39,1.21,5.52,5.27,1.52
06/12/2024 10:00,1,32.17,22.02,17.05,20.4,1.61,3.3,1.36,5.92,5.13,1.71
06/12/2024 11:00,1,30.33,19.69,15.1,20.56,1.52,2.95,1.21,5.58,4.59,1.51
06/12/2024 12:00,1,28.4,22.13,14.24,18.34,1.42,3.32,1.14,5.23,5.16,1.42
06/12/2024 13:00,1,28.21,21.26,15.3,20.07,1.41,3.19,1.22,5.19,4.95,1.53
06/12/2024 14:00,1,28.77,19.58,10.21,18.52,1.44,2.94,0.82,5.29,4.56,1.02
06/12/2024 15:00,1,27.32,19.78,11.78,20.48,1.37,2.97,0.94,5.03,4.61,1.18
06/12/2024 16:00,1,24.04,17.87,13.72,20.04,1.2,2.68,1.1,4.42,4.16,1.37
06/12/2024 17:00,1,24.78,18.58,12.53,18.7,1.24,2.79,1,4.56,4.33,1.25
06/12/2024 18:00,1,27.59,19.82,13.73,17.25,1.38,2.97,1.1,5.08,4.62,1.37
06/12/2024 19:00,1,24.08,19.31,13.04,20.74,1.2,2.9,1.04,4.43,4.5,1.3
06/12/2024 20:00,1,25.73,19.36,11.44,19.04,1.29,2.9,0.92,4.73,4.51,1.14
06/12/2024 21:00,1,25.58,21.73,13.21,18.56,1.28,3.26,1.06,4.71,5.06,1.32
06/12/2024 22:00,1,25.65,22.75,14.73,18.54,1.28,3.41,1.18,4.72,5.3,1.47
06/12/2024 23:00,1,27.51,21.49,11.01,20.81,1.38,3.22,0.88,5.06,5.01,1.1
07/12/2024,1,26.11,20.57,16.15,21.91,1.31,3.09,1.29,4.8,4.79,1.61
07/12/2024 01:00,1,27.46,20.27,14.04,19.61,1.37,3.04,1.12,5.05,4.72,1.4
07/12/2024 02:00,1,28.54,21.51,13.7,18.61,1.43,3.23,1.1,5.25,5.01,1.37
07/12/2024 03:00,1,31.31,22.07,14.95,20.25,1.57,3.31,1.2,5.76,5.14,1.5
07/12/2024 04:00,1,30.01,22.13,15.39,19.68,1.5,3.32,1.23,5.52,5.16,1.54
07/12/2024 05:00,1,33.02,26.08,14.91,19.79,1.65,3.91,1.19,6.08,6.08,1.49
07/12/2024 06:00,1,30.65,24.55,17.04,19.59,1.53,3.68,1.36,5.64,5.72,1.7
07/12/2024 07:00,1,31.97,24.26,17.53,19.09,1.6,3.64,1.4,5.88,5.65,1.75
07/12/2024 08:00,1,30.58,23.46,15.15,21.09,1.53,3.52,1.21,5.63,5.47,1.52
07/12/2024 09:00,1,31.53,22.01,16.15,18.95,1.58,3.3,1.29,5.8,5.13,1.61
07/12/2024 10:00,1,29.57,22.46,15.7,20.36,1.48,3.37,1.26,5.44,5.23,1.57
07/12/2024 11:00,1,31.04,22.44,14.8,19.16,1.55,3.37,1.18,5.71,5.23,1.48
